superbowl,date,year,final_score,betting_line,spread
LIV,"Feb 2, 2020",2020,"Kansas City 31, San Francisco 20",KC -1.5 (53),1.5
LIII,"Feb 3, 2019",2019,"New England 13, Los Angeles 3",NE -2.5 (55.5),2.5
LII,"Feb 4, 2018",2018,"Philadelphia 41, New England 33",NE -4.5 (49),4.5
LI,"Feb 5, 2017",2017,"New England 34, Atlanta 28",NE -3 (57.5),3
L,"Feb 7, 2016",2016,"Denver 24, Carolina 10",CAR -4.5 (43),4.5
XLIX,"Feb 1, 2015",2015,"New England 28, Seattle 24",SEA -1 (47.5),1
XLVIII,"Feb 2, 2014",2014,"Seattle 43, Denver 8",DEN -2 (47.5),2
XLVII,"Feb 3, 2013",2013,"Baltimore 34, San Francisco 31",SF -4.5 (48),4.5
XLVI,"Feb 5, 2012",2012,"N.Y. Giants 21, New England 17",NE -2.5 (53),2.5
XLV,Feb 6 2011,2011,"Green Bay 31, Pittsburgh 25",GB -3 (45),3
XLIV,"Feb 7, 2010",2010,"New Orleans 31, Indianapolis 17",IND -5 (57),5
XLIII,"Feb 1, 2009",2009,"Pittsburgh 27, Arizona 23",PIT -7 (46),7
XLII,"Feb 3, 2008",2008,"N.Y. Giants 17, New England 14",NE -12 (55),12
XLI,"Feb 4, 2007",2007,"Indianapolis 29, Chicago 17",IND -7 (47),7
XL,"Feb 5, 2006",2006,"Pittsburgh 21, Seattle 10",PIT -4 (47),4
XXIX,"Feb 6, 2005",2005,"New England 24, Philadelphia 21",NE -7 (46.5),7
XXXVIII,"Feb 1, 2004",2004,"New England 32, Carolina 29",NE -7 (37.5),7
XXXVII,"Jan 26, 2003",2003,"Tampa Bay 48, Oakland 21",OAK -4 (44),4
XXXVI,"Feb 3, 2002",2002,"New England 20, St. Louis 17",STL -14 (53),14
XXXV,"Jan 28, 2001",2001,"Baltimore 34, N.Y. Giants 7",BAL -3 (33),3
XXXIV,"Jan 30, 2000",2000,"St. Louis 23, Tennessee 16",STL -7 (45),7
XXXIII,"Jan 31, 1999",1999,"Denver 34, Atlanta 19",DEN -7.5 (52.5),7.5
XXXII,"Jan 25, 1998",1998,"Denver 31, Green Bay 24",GB -11 (49),11
XXXI,"Jan 26, 1997",1997,"Green Bay 35, New England 21",GB -14 (49),14
XXX,"Jan 28, 1996",1996,"Dallas 27, Pittsburgh 17",DAL -13.5 (51),13.5
XXIX,"Jan 29, 1995",1995,"San Francisco 49, San Diego 26",SF -18.5 (53.5),18.5
XXVIII,"Jan 30, 1994",1994,"Dallas 30, Buffalo 13",DAL -10.5 (50.5),10.5
XXVII,"Jan 31, 1993",1993,"Dallas 52, Buffalo 17",DAL -6.5 (44.5),6.5
XXVI,"Jan 26, 1992",1992,"Washington 37, Buffalo 24",WAS -7 (49),7
XXV,"Jan 27, 1991",1991,"N.Y. Giants 20, Buffalo 19",BUF -7 (40.5),7
XXIV,"Jan 28, 1990",1990,"San Francisco 55, Denver 10",SF -12 (48),12
XXIII,"Jan 22, 1989",1989,"San Francisco 20, Cincinnati 16",SF -7 (48),7
XXII,"Jan 31, 1988",1988,"Washington 42, Denver 10",DEN -3 (47),3
XXI,"Jan 25, 1987",1987,"N.Y. Giants 39, Denver 20",NYG -9.5 (40),9.5
XX,"Jan 26, 1986",1986,"Chicago 46, New England 10",CHI -10 (37.5),10
XIX,"Jan 20, 1985",1985,"San Francisco 38, Miami 16",SF -3.5 (53.5),3.5
XVIII,"Jan 22, 1984",1984,"L.A. Raiders 38, Washington 9",WAS -3 (48),3
XVII,"Jan 30, 1983",1983,"Washington 27, Miami 17",MIA -3 (36.5),3
XVI,"Jan 24, 1982",1982,"San Francisco 26, Cincinnati 21",SF -1 (48),1
XV,"Jan 25, 1981",1981,"Oakland 27, Philadelphia 10",PHI -3 (37.5),3
XIV,"Jan 20, 1980",1980,"Pittsburgh 31, L.A. Rams 19",PIT -10.5 (36),10.5
XIII,"Jan 21, 1979",1979,"Pittsburgh 35, Dallas 31",PIT -3.5 (37),3.5
XII,"Jan 15, 1978",1978,"Dallas 27, Denver 10",DAL -6 (39),6
XI,"Jan 9, 1977",1977,"Oakland 34, Minnesota 14",OAK -4 (38),4
X,"Jan 18, 1976",1976,"Pittsburgh 21, Dallas 17",PIT -7 (36),7
IX,"Jan 12, 1975",1975,"Pittsburgh 16, Minnesota 6",PIT -3 (33),3
VIII,"Jan 13, 1974",1974,"Miami 24, Minnesota 7",MIA -6.5 (33),6.5
VII,"Jan 14, 1973",1973,"Miami 14, Washington 7",MIA -1 (33),1
VI,"Jan 16, 1972",1972,"Dallas 24, Miami 3",DAL -6 (34),6
V,"Jan 17, 1971",1971,"Baltimore 16, Dallas 13",BAL -2.5 (36),2.5
IV,"Jan 11, 1970",1970,"Kansas City 23, Minnesota 7",MIN -12 (39),12
III,"Jan 12, 1969",1969,"N.Y. Jets 16, Baltimore 7",BAL-18 (40),18
II,"Jan 14, 1968",1968,"Green Bay 33, Oakland 14",GB -13.5 (43),13.5
I,"Jan 15, 1967",1967,"Green Bay 35, Kansas City 10",GB -14 (N/A),14
